,City,Country,Province,ID,POIID,distance
0,Kitchener,CA,ON,4518952,POI3,588997.6015604854
1,Kitchener,CA,ON,4520395,POI3,591762.7511776283
2,London,CA,ON,4521978,POI3,680463.0539861632
3,Calgary,CA,AB,4531193,POI1,280661.27148005884
4,Dundas,CA,ON,4531541,POI3,566077.1521060151
5,Barrie,CA,ON,4569629,POI3,496630.19514785806
6,North York,CA,ON,4576460,POI3,509585.4831131538
7,Dartmouth,CA,NS,4579630,POI4,62057.58193221306
8,Calgary,CA,AB,4580418,POI1,272406.3132405213
9,Calgary,CA,AB,4581791,POI1,296109.4747174568
10,Etobicoke,CA,ON,4584595,POI3,520056.47699562326
11,Edmonton,CA,AB,4591360,POI1,10196.183891563853
12,Niagara Falls,CA,ON,4593917,POI3,513404.06250833964
13,Thunder Bay,CA,ON,4640302,POI3,1232957.3852850557
14,Calgary,CA,AB,4643764,POI1,279464.90023715154
15,Mississauga,CA,ON,4648848,POI3,533364.6086669115
16,North York,CA,ON,4652424,POI3,503329.69677924097
17,Calgary,CA,AB,4656443,POI1,293678.25854833255
18,Kingston,CA,ON,4669321,POI3,273469.7053151318
19,Ottawa,CA,ON,4708810,POI3,168004.61423561472
20,Saint-Eustache,CA,QC,4716706,POI3,27498.58358218466
21,Calgary,CA,AB,4724679,POI1,268103.8017957676
22,Milton,CA,ON,4739358,POI3,548024.548521941
23,Etobicoke,CA,ON,4754401,POI3,513967.9547546894
24,Calgary,CA,AB,4784037,POI1,281000.90732290887
25,Ottawa,CA,ON,4787934,POI3,174452.74830875397
26,Toronto,CA,ON,4792092,POI3,502457.7114347643
27,Edmonton,CA,AB,4795426,POI1,11787.141911666764
28,Calgary,CA,AB,4809097,POI1,279823.2450880281
29,Edmonton,CA,AB,4816720,POI1,9144.498660083655
30,Calgary,CA,AB,4823135,POI1,281822.02612825576
31,Saint Catharines,CA,ON,4824989,POI3,523413.1708207613
32,Edmonton,CA,AB,4838227,POI1,3105.588818831338
33,Edmonton,CA,AB,4845500,POI1,10011.94262639854
34,Surrey,CA,BC,4862943,POI1,808111.2198406815
